scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-w,28.701,32.891,5031.352,5542.047,5705.789,17.145,23.607,5551.443,5732.552
multi-25x4w-stag500,42.924,225.228,9381.231,11281.706,21695.922,26.114,9692.42,11295.614,21724.197
multi-inst-25x4i,14.23,30.37,8865.024,9491.228,17599.009,20.622,4237.117,9524.048,21767.57
multi-inst-25x2ix2w-500,36.563,241.431,9094.588,9871.552,17921.015,16.907,4137.825,9881.827,21588.17
