scenario,total_mean,total_p50,total_p95,total_p99
single-w,5216.69218,5048.535,5551.443,5732.552
multi-25x4w-stag500,9819.87776,9417.068,11295.614,21724.197
multi-inst-25x4i,9403.67059,8876.57,9524.048,21767.57
multi-inst-25x2ix2w-500,9626.567360000001,9120.179,9881.827,21588.17
