scenario,benchmark_cpu_peak,benchmark_cpu_peak_t_sec,benchmark_rss_peak_kib,benchmark_rss_peak_t_sec,system_disk_pct_util_peak,system_disk_pct_util_peak_t_sec,system_disk_w_await_peak,system_disk_w_await_peak_t_sec,system_interrupts_peak,system_interrupts_peak_t_sec,system_context_switches_peak,system_context_switches_peak_t_sec,system_run_queue_peak,system_run_queue_peak_t_sec,npu_utilization_peak,npu_utilization_peak_t_sec,npu_aicore_peak,npu_aicore_peak_t_sec,npu_hbm_peak,npu_hbm_peak_t_sec
single-w,156.0,411.0,994180.0,262.0,10.8,44.0,3.59,517.0,1097385.0,74.0,1747789.0,496.0,70.0,157.0,75.9375,66.072804,26.8125,170.683468,94.5,302.611876
multi-25x4w-stag500,183.0,88.0,1162908.0,257.0,7.6,12.0,5.5,119.0,975251.0,240.0,1623700.0,240.0,69.0,157.0,95.625,242.137884,51.6875,242.137884,95.0,0.0
multi-inst-25x4i,416.0,9.0,3263880.0,21.0,4.6,13.0,2.755,32.0,860014.75,231.0,1428292.0,9.0,64.0,140.0,91.0,114.163606,50.75,208.580826,95.0,0.0
multi-inst-25x2ix2w-500,271.0,28.0,1882948.0,24.0,5.6,5.0,4.36,71.0,915027.0,207.0,1551666.0,261.0,65.5,95.0,91.4375,243.622301,49.375,113.681313,95.5,0.0
