scenario,busiest_device,pct_util,r_await,w_await,aqu_sz,system_wkb_s,benchmark_kb_wr_per_s
single-w,sda,0.6064942528735633,0.005747126436781609,0.47455938697318006,0.04603448275862069,4538.34745210728,4445.464521072797
multi-25x4w-stag500,sda,0.9095785440613027,0.0,0.7467816091954023,0.14379310344827587,8679.264367816091,8779.892567049808
multi-inst-25x4i,sda,1.0830712716677668,0.02063614173233559,0.6640280521568958,0.23214209910617875,13887.6548241388,13618.942892151572
multi-inst-25x2ix2w-500,sda,1.040839066932223,0.0,0.7319141921660932,0.17829010501539017,10736.191441849238,10538.825953286258
