scenario,rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
single-w,100,16.76,3.2927229999999996,3.2927229999999996
multi-25x4w-stag500,98,16.540816326530614,1.7208952959183674,1.7208952959183674
multi-inst-25x4i,100,16.79,1.85350832,1.85350832
multi-inst-25x2ix2w-500,100,16.53,1.7837184300000002,1.7837184300000002
