scenario,utilization_pct,hbm_usage_pct,aicore_usage_pct
single-w,61.872727272727275,94.2875,21.5125
multi-25x4w-stag500,78.44642857142857,95.0,40.924107142857146
multi-inst-25x4i,69.70536997126436,95.0,36.81665768678161
multi-inst-25x2ix2w-500,76.89116236772486,95.5,40.279431216931215
