scenario,interrupts_per_s,system_context_switches_per_s,run_queue,blocked_processes,benchmark_cswch_per_s,benchmark_nvcswch_per_s,benchmark_iodelay
single-w,857937.1778202677,1381653.1070745697,30.688336520076483,0.0038240917782026767,33.46319923371648,23.7316091954023,0.0
multi-25x4w-stag500,782008.30651341,1282399.4214559386,29.57471264367816,0.011494252873563218,42.89969348659004,55.37436781609195,0.0
multi-inst-25x4i,794327.6016661737,1323452.4594697389,28.546933010172843,0.015179155771498542,82.50573160139055,62.04821314534907,0.0
multi-inst-25x2ix2w-500,788925.0811923584,1294633.5020586299,31.169548748353094,0.003952569169960474,57.246779678918465,42.343621823887986,0.0
