scenario,total_mean,total_p50,total_p95,total_p99
single-w,3829.7934,2874.673,3741.048,21102.278
multi-5x4w-stag500,16145.76125,15351.649,20348.885,34730.049
multi-inst-5x4i,23619.18395,14316.568,20082.315,216020.342
multi-inst-5x2ix2w-500,8134.147500000001,7631.887,17116.938,18439.092
