scenario,run_dir,instance_num,requests_total,requests_ok,requests_failed,connect_mean_ms,send_mean_ms,send_p95_ms,send_p99_ms,wait_mean_ms,wait_p50_ms,wait_p95_ms,wait_p99_ms,history_mean_ms,history_p95_ms,history_p99_ms,total_mean_ms,total_p50_ms,total_p95_ms,total_p99_ms,benchmark_cpu_percent_mean,benchmark_cpu_usr_percent_mean,benchmark_cpu_system_percent_mean,benchmark_cpu_wait_percent_mean,benchmark_rss_kib_mean,benchmark_kb_wr_per_s_mean,benchmark_iodelay_mean,benchmark_cswch_per_s_mean,benchmark_nvcswch_per_s_mean,system_busiest_device,system_disk_pct_util_mean,system_disk_r_await_mean,system_disk_w_await_mean,system_disk_aqu_sz_mean,system_disk_wkb_s_mean,system_interrupts_per_s_mean,system_context_switches_per_s_mean,system_run_queue_mean,system_blocked_processes_mean,npu_utilization_mean,npu_hbm_usage_mean,npu_aicore_usage_mean,token_rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
single-w,/root/Zehao/ClawHarness/out/batch_run_2/task-01/20260416T190912Z_vps-docker-qwen3-235b8x2-single-20-worker,1,20,20,0,30612.099,3.3966000000000003,4.355,22.625,3602.0622000000003,2865.895,3733.289,16750.14,224.29674999999997,13.705,4347.731,3829.7934,2874.673,3741.048,21102.278,52.06306306306306,43.288288288288285,8.774774774774775,0.05405405405405406,736974.3063063063,7908.0,0.0,29.81981981981982,32.27927927927928,sda,0.6378378378378378,0.0,0.4634234234234234,0.1118018018018018,8238.27027027027,787465.7410714285,1351303.4285714286,19.455357142857142,0.0,33.557291666666664,92.0,12.161458333333334,20,39.5,13.335598300000001,6.843361300000001
multi-5x4w-stag500,/root/Zehao/ClawHarness/out/batch_run_2/task-01/20260416T192006Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag500-worker,1,20,20,0,13417.075499999999,21.579349999999998,52.226,261.887,15956.947450000001,15336.905,20079.978,31720.558,167.1943,76.778,3005.485,16145.76125,15351.649,20348.885,34730.049,52.42727272727273,42.481818181818184,9.945454545454545,0.13636363636363635,1001194.6181818182,8448.8,0.0,30.581818181818182,56.70909090909091,sda,0.7181818181818181,0.0,0.5949090909090909,0.11354545454545455,8257.272727272728,786040.7297297297,1305552.2702702703,25.45945945945946,0.009009009009009009,65.42708333333333,92.0,34.385416666666664,20,127.4,8.6430335,5.09167355
multi-inst-5x4i,/root/Zehao/ClawHarness/out/batch_run_2/task-01/20260416T192337Z_vps-docker-qwen3-235b8x2-single-inst-5x4i-worker,4,20,20,0,7123.8324999999995,8.77655,33.698,39.3,22793.3,13259.776,17850.009,216012.715,817.06855,3986.259,4486.557,23619.18395,14316.568,20082.315,216020.342,54.52702274155763,44.483100013332574,10.043922728225054,0.09436667111085716,2533051.226364208,8901.214166174632,0.0,38.6604344831089,47.42813696360208,sda,0.5473435486226185,0.0280382069437302,0.3641314579643068,0.10766096976998141,8266.634612668959,881236.8992161611,1406911.0225411928,35.18751844137811,0.00369689084924186,69.89696134135473,92.0,27.425426136363637,20,98.4,7.9916459500000006,6.14242045
multi-inst-5x2ix2w-500,/root/Zehao/ClawHarness/out/batch_run_2/task-01/20260416T193634Z_vps-docker-qwen3-235b8x2-multi-inst-5x2ix2w-stag500-worker,2,20,20,0,12441.405999999999,93.5874,688.19,701.276,7104.391500000001,6243.141,17103.185,18426.505,936.1307999999999,9275.135,9281.194,8134.147500000001,7631.887,17116.938,18439.092,124.79710144927536,105.14492753623188,19.652173913043477,0.4492753623188406,1839959.8260869565,21372.521739130432,0.0,50.92753623188406,194.39130434782606,sda,1.3623188405797102,0.057971014492753624,0.9345652173913044,0.3441304347826087,21003.10144927536,764543.0714285714,1313773.5857142857,22.292857142857144,0.014285714285714285,47.86607142857143,92.0,24.24107142857143,20,46.45,22.433212349999998,19.10622385
