scenario,busiest_device,pct_util,r_await,w_await,aqu_sz,system_wkb_s,benchmark_kb_wr_per_s
single-w,sda,0.6378378378378378,0.0,0.4634234234234234,0.1118018018018018,8238.27027027027,7908.0
multi-5x4w-stag500,sda,0.7181818181818181,0.0,0.5949090909090909,0.11354545454545455,8257.272727272728,8448.8
multi-inst-5x4i,sda,0.5473435486226185,0.0280382069437302,0.3641314579643068,0.10766096976998141,8266.634612668959,8901.214166174632
multi-inst-5x2ix2w-500,sda,1.3623188405797102,0.057971014492753624,0.9345652173913044,0.3441304347826087,21003.10144927536,21372.521739130432
