scenario,run_dir,run_started_at,run_finished_at,run_wall_clock_sec,first_request_started_at,last_request_finished_at,request_window_sec
multi-5x4w-stag150,/root/Zehao/ClawHarness/out/batch_run_2/task-01/20260416T191335Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag150-worker,2026-04-16T19:13:43.915238+00:00,2026-04-16T19:15:24.144063+00:00,100.228825,2026-04-16T19:13:43.997157+00:00,2026-04-16T19:15:07.609081+00:00,83.611924
multi-5x4w-stag300,/root/Zehao/ClawHarness/out/batch_run_2/task-01/20260416T191705Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag300-worker,2026-04-16T19:17:14.468539+00:00,2026-04-16T19:18:36.061995+00:00,81.593456,2026-04-16T19:17:14.533229+00:00,2026-04-16T19:18:27.572256+00:00,73.039027
multi-5x4w-stag500,/root/Zehao/ClawHarness/out/batch_run_2/task-01/20260416T192006Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag500-worker,2026-04-16T19:20:14.994463+00:00,2026-04-16T19:22:09.410353+00:00,114.41589,2026-04-16T19:20:15.065341+00:00,2026-04-16T19:22:00.442789+00:00,105.377448
