scenario,total_mean,total_p50,total_p95,total_p99
single-20,12567.56145,12659.291,13504.993,37712.032
multi-5x4w-stag150,25476.8958,20872.248,45772.739,46040.833
multi-5x4w-stag300,24027.23195,19434.949,49099.507,49964.462
multi-5x4w-stag500,21126.0478,19950.484,29235.442,30088.631
