scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-20,22.834,25.308,12649.275,13494.578,33783.328,19.06,3924.809,13504.993,37712.032
multi-5x4w-stag150,65.402,123.36,20836.667,45755.442,46024.308,95.674,2991.215,45772.739,46040.833
multi-5x4w-stag300,33.918,110.163,19421.576,49084.323,49947.602,20.165,3038.712,49099.507,49964.462
multi-5x4w-stag500,148.992,312.9,19923.716,29202.881,29932.598,30.865,8603.807,29235.442,30088.631
