scenario,pct_cpu_total,pct_cpu_user,pct_cpu_system
单实例串行,14.967334575955267,11.853653308480894,3.113681267474371
单实例4会话并行,28.92944680851064,22.784893617021275,6.144553191489361
单容器4实例并行,47.83576576576577,8.875,9.653571428571428
4容器单实例并行,57.117138210230095,45.25230365299074,11.864834557239359
