scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
单实例串行,4.989,11.338,10577.986,11599.22,23612.275,10.934,17.26,11609.176,28131.085
单实例4会话并行,23.974,56.965,14114.849,19210.958,40541.727,16.97,33.874,19222.43,40556.523
单容器4实例并行,13.643,40.919,12446.958,34261.942,47041.983,22.523,4289.627,34271.329,47058.792
4容器单实例并行,26.177,40.431,11218.41,18914.857,24114.181,31.825,4425.834,21382.561,24126.145
