scenario,total_mean,total_p50,total_p95,total_p99
单实例串行,10716.11214,10587.211,11609.176,28131.085
单实例4会话并发,15793.655120000001,14126.145,19222.43,40556.523
单容器4实例并发,14649.956980000003,12456.189,34271.329,47058.792
4容器实例独占,11431.21781,11228.398,21382.561,24126.145
