scenario,run_dir,instance_num,requests_total,requests_ok,requests_failed,connect_mean_ms,send_mean_ms,send_p95_ms,send_p99_ms,wait_mean_ms,wait_p50_ms,wait_p95_ms,wait_p99_ms,history_mean_ms,history_p95_ms,history_p99_ms,total_mean_ms,total_p50_ms,total_p95_ms,total_p99_ms,benchmark_cpu_percent_mean,benchmark_cpu_usr_percent_mean,benchmark_cpu_system_percent_mean,benchmark_cpu_wait_percent_mean,benchmark_rss_kib_mean,benchmark_kb_wr_per_s_mean,benchmark_iodelay_mean,benchmark_cswch_per_s_mean,benchmark_nvcswch_per_s_mean,system_busiest_device,system_disk_pct_util_mean,system_disk_r_await_mean,system_disk_w_await_mean,system_disk_aqu_sz_mean,system_disk_wkb_s_mean,system_interrupts_per_s_mean,system_context_switches_per_s_mean,system_run_queue_mean,system_blocked_processes_mean,npu_utilization_mean,npu_hbm_usage_mean,npu_aicore_usage_mean,token_rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
multi-25x4w-stag150,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T130112Z_vps-docker-qwen3-235b-multi-25x4w-stag150-request,1,100,100,0,7125.0575,23.62159,169.912,224.419,9685.54654,9326.863,10720.867,22268.056,108.80923999999999,22.491,39.837,9818.02166,9359.022,10740.895,22369.279,53.38473076923077,43.812384615384616,9.572346153846153,0.19226923076923078,780335.6923076923,8988.3715,0.0,43.76303846153846,66.09084615384614,sda,0.9965384615384616,0.007692307692307693,0.8221923076923078,0.14007692307692307,9032.193000000001,776784.1877394636,1274769.9233716475,31.89272030651341,0.011494252873563218,76.70758928571429,94.61383928571429,40.595982142857146,99,16.656565656565657,1.7460405454545453,1.7460405454545453
multi-25x4w-stag300,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T131245Z_vps-docker-qwen3-235b-multi-25x4w-stag300-request,1,100,100,0,6370.838,20.58377,38.459,225.592,9968.89233,9522.569,10350.269,20828.75,78.92993,39.084,3129.247,10068.44386,9569.892,10414.612,20843.874,59.030534351145036,47.20229007633588,11.82824427480916,0.15648854961832062,834568.3053435114,8997.282442748092,0.0,47.01908396946565,63.56106870229008,sda,0.9647328244274809,0.01885496183206107,0.8378625954198474,0.15404580152671757,9033.267175572519,786915.8593155893,1286382.866920152,29.269961977186313,0.0076045627376425855,78.05580357142857,95.0,40.575892857142854,100,16.55,1.70505001,1.70505001
multi-25x4w-stag500,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T132533Z_vps-docker-qwen3-235b-multi-25x4w-stag500-request,1,100,100,0,6780.3035,19.94308,42.924,225.228,9591.06935,9381.231,11281.706,21695.922,208.82574,26.114,9692.42,9819.87776,9417.068,11295.614,21724.197,53.93835249042146,43.37911877394636,10.559233716475095,0.14559386973180077,1008802.3295019157,8779.892567049808,0.0,42.89969348659004,55.37436781609195,sda,0.9095785440613027,0.0,0.7467816091954023,0.14379310344827587,8679.264367816091,782008.30651341,1282399.4214559386,29.57471264367816,0.011494252873563218,78.44642857142857,95.0,40.924107142857146,98,16.540816326530614,1.7208952959183674,1.7208952959183674
