scenario,total_mean,total_p50,total_p95,total_p99
multi-25x4w-stag150,9818.02166,9359.022,10740.895,22369.279
multi-25x4w-stag300,10068.44386,9569.892,10414.612,20843.874
multi-25x4w-stag500,9819.87776,9417.068,11295.614,21724.197
