scenario,rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
multi-25x4w-500,100,144.12,10.21044445,5.86204169
25x2ix2w-300,100,87.95,9.032019589999999,4.8564095300000005
multi-25x1dx4ix1w-500,0,0.0,0.0,0.0
multi-25x2dx2ix1w-500,0,0.0,0.0,0.0
