scenario,total_mean,total_p50,total_p95,total_p99
multi-25x4w-500,15793.655120000001,14126.145,19222.43,40556.523
25x2ix2w-300,10585.10987,8269.535,19529.335,43253.25
multi-25x1dx4ix1w-500,14649.95698,12456.189,34271.329,47058.792
multi-25x2dx2ix1w-500,12696.39456,12318.753,15518.988,27211.727
