scenario,connect,send,wait,history,total
multi-inst-25x2dx2ix1w-stag150,2258.2052500000004,5.34855,16229.89024,187.41185000000002,16422.69048
multi-inst-25x2dx2ix1w-stag300,810.20225,4.90883,16851.28482,175.34339,17031.57777
multi-inst-25x2dx2ix1w-stag500,2311.869,4.32861,12508.64862,183.37682,12696.39456
