scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
multi-inst-25x2dx2ix1w-stag150,23.631,40.14,14228.331,25871.679,52259.498,37.436,4419.945,28386.496,52350.918
multi-inst-25x2dx2ix1w-stag300,21.08,32.878,12320.655,24788.229,119147.45,29.307,4109.373,28903.039,119168.651
multi-inst-25x2dx2ix1w-stag500,10.526,31.706,12285.103,15217.58,22792.475,17.965,4413.615,15518.988,27211.727
