scenario,rss_kib_total
multi-inst-25x2dx2ix1w-stag150,2127885.6295193797
multi-inst-25x2dx2ix1w-stag300,2041567.5374644068
multi-inst-25x2dx2ix1w-stag500,2230756.2837333335
