scenario,total_mean,total_p50,total_p95,total_p99
multi-inst-25x2dx2ix1w-stag150,16422.69048,14241.344,28386.496,52350.918
multi-inst-25x2dx2ix1w-stag300,17031.57777,12336.427,28903.039,119168.651
multi-inst-25x2dx2ix1w-stag500,12696.39456,12318.753,15518.988,27211.727
