scenario,connect,send,wait,history,total
vps-docker-single-task-00-500-full,225.969,2.8474459999999997,973.591004,84.658878,1061.1226000000001
vps-docker-multi-task-00-500-full,6094.69015,8.035774,19620.559078000002,71.681628,19700.302197999998
