scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
vps-docker-single-task-00-500-full,1.387,5.995,251.336,364.335,386.228,23.766,34.818,384.514,403.824
vps-docker-multi-task-00-500-full,4.524,39.769,5086.257,6572.921,7358.88,16.18,29.885,6584.162,7365.107
