scenario,total_mean,total_p50,total_p95,total_p99
vps-docker-single-task-00-500-full,1061.1226000000001,1190.892,1336.504,1410.841
vps-docker-multi-task-00-500-full,19700.302197999998,20453.934,22529.98,29077.45
