,vps-docker-single-task-00-500-full,vps-docker-multi-task-00-500-full
openat,0.027688483682807866,0.028362261350098856
statx,0.021711054247825164,0.0218581746828534
newfstatat,0.021403119429590018,0.021492804044008326
pread64,0.02147142857142857,0.020211267605633805
clone,5.494428571428571,6.078194444444445
sched_yield,0.0305,0.019
futex,40.85808546785659,39.158166540436696
read,0.022133555746879034,0.021956435622131787
write,0.030459081002337584,0.030790221474218258
