scenario,run_dir,requests_total,requests_ok,requests_failed,connect_mean_ms,send_mean_ms,send_p95_ms,send_p99_ms,wait_mean_ms,wait_p50_ms,wait_p95_ms,wait_p99_ms,history_mean_ms,history_p95_ms,history_p99_ms,total_mean_ms,total_p50_ms,total_p95_ms,total_p99_ms,docker_cpu_percent_mean,docker_mem_percent_mean,docker_block_read_bytes_per_s_mean,docker_block_write_bytes_per_s_mean,pidstat_cpu_percent_mean,pidstat_rss_kib_mean,pidstat_kb_wr_per_s_mean,pidstat_iodelay_mean,pidstat_cswch_per_s_mean,pidstat_nvcswch_per_s_mean,iostat_busiest_device,iostat_pct_util_mean,iostat_r_await_mean,iostat_w_await_mean,iostat_f_await_mean,iostat_aqu_sz_mean,iostat_wkb_s_mean,vmstat_interrupts_per_s_mean,vmstat_context_switches_per_s_mean,vmstat_run_queue_mean,perf_cache_misses_mean,perf_context_switches_mean,perf_cpu_migrations_mean,perf_page_faults_mean,perf_unsupported_events,strace_events_per_s_peak,strace_events_per_s_peak_t_sec,strace_duration_ms_per_s_peak,strace_duration_ms_per_s_peak_t_sec,strace_top_syscall,strace_top_syscall_total_duration_sec,node_fs_async_mean_ms,node_fs_callback_mean_ms,node_promise_callback_mean_ms,node_event_loop_immediate_mean_ms,node_event_loop_timers_mean_ms,node_fs_async_count,node_fs_callback_count,node_promise_callback_count,node_top_fs_path,node_top_fs_path_count,gateway_bootstrap_load_mean_ms,gateway_skills_mean_ms,gateway_context_bundle_mean_ms,gateway_execution_admission_wait_mean_ms,gateway_reply_dispatch_queue_wait_mean_ms,gateway_reply_dispatch_queue_hold_mean_ms,gateway_reply_dispatch_pending_mean,node_sessions_lock_total_ms,node_sessions_lock_count,node_sessions_dir_enum_total_ms,node_sessions_dir_enum_count,node_sessions_json_total_ms,node_sessions_json_count,node_sessions_tmp_total_ms,node_sessions_tmp_count,node_bootstrap_files_total_ms,node_bootstrap_files_count
vps-docker-single-task-00-500-full,/root/client-harness/out/20260325T173324Z_vps-docker-single-task-00-500-full,500,500,0,225.969,2.8474459999999997,6.953,11.899,973.591004,1155.519,1251.777,1313.98,84.658878,130.959,149.266,1061.1226000000001,1190.892,1336.504,1410.841,44.9357345971564,2.0700473933649293,0.0,196211.0338884807,44.13103578154426,1405880.2561205274,1163.2070244821093,0.0,36571.29416195857,0.0847457627118644,vda,0.39037735849056604,0.0,1.2764150943396226,0.012415094339622642,0.031754716981132074,2253.743320754717,84897.08662900189,158911.37288135593,1.3239171374764596,,87.59399058380414,20.116849340866292,34.55550094161959,"cache-misses, cache-references",3468.0,1.0,17977.78600000012,3.0,futex,4230.282737,143.51095807945683,163.73881415929202,2.7411929634151857,1.5460178855325915,4.423363636363636,262759.0,339.0,22113.0,/home/node/.openclaw/agents/main/sessions/sessions.json.lock,272.0,2.758,698.85,742.934,0.142598,0.00206,0.003178,2.0,298.6340000000001,272.0,77.67800000000001,68.0,164.106,68.0,327.70000000000016,272.0,6459.128999999999,884.0
vps-docker-multi-task-00-500-full,/root/client-harness/out/20260325T200959Z_vps-docker-multi-task-00-500-full,500,500,0,6094.69015,8.035774,14.67,25.721,19620.559078000002,20381.9,22455.508,28904.365,71.681628,133.085,219.221,19700.302197999998,20453.934,22529.98,29077.45,43.324386792452835,2.166367924528302,0.0,702634.3634067023,43.24546992481203,1499169.3909774437,1191.8405451127821,0.0,36770.60496240602,0.07142857142857142,vda,0.41466165413533834,0.0,1.3000751879699248,0.012387218045112782,0.03907894736842105,2393.044887218045,85293.75939849624,159817.33458646617,1.3101503759398496,,89.60337781954888,23.77001879699248,238.88443045112783,"cache-misses, cache-references",3632.0,3.0,16909.61600000027,302.0,futex,4239.576375,,,,,,,,,,,,,,,,,,,,,,,,,,,
