scenario,cpu_percent,mem_percent,block_read_bytes,block_write_bytes
vps-docker-single-task-00-500-full,104.185,4.1379166666666665,0.0,1043341.6666666666
vps-docker-multi-task-00-500-full,102.5459090909091,4.145,0.0,3178545.4545454546
