scenario,connect,send,wait,history,total
vps-docker-single-task-00-500-full,225.969,2.8474459999999997,973.591004,84.658878,1061.1226000000001
vps-docker-multi-task-00-500-10x50,5358.1326,5.665439999999999,10082.269038,73.183244,10161.143266000001
