scenario,docker_cpu_peak,docker_cpu_peak_t_sec,docker_mem_peak,docker_mem_peak_t_sec,pidstat_cpu_peak,pidstat_cpu_peak_t_sec,pidstat_rss_peak,pidstat_rss_peak_t_sec,iostat_pct_util_peak,iostat_pct_util_peak_t_sec,iostat_w_await_peak,iostat_w_await_peak_t_sec,vmstat_interrupts_peak,vmstat_interrupts_peak_t_sec,vmstat_context_switches_peak,vmstat_context_switches_peak_t_sec,perf_context_switches_peak,perf_context_switches_peak_t_sec
vps-docker-single-task-00-500-full,115.05,80.707012,4.26,80.707012,129.0,81.0,2843484.0,81.0,8.7,227.0,17.16,391.0,94849.0,487.0,178991.0,487.0,113.099,133.148163697
vps-docker-multi-task-00-500-10x50,123.44,80.715226,4.32,80.715226,138.0,81.0,2908672.0,81.0,14.5,300.0,22.46,387.0,99939.0,198.0,177702.0,506.0,112.234,165.182048226
