scenario,sessions_lock_total_ms,sessions_lock_count,sessions_dir_total_ms,sessions_dir_count,bootstrap_files_total_ms,bootstrap_files_count
vps-docker-single-task-00-500-full,298.6340000000001,272.0,868.1180000000004,680.0,6459.128999999999,884.0
vps-docker-multi-task-00-500-10x50,733.8529999999998,272.0,4405.993999999998,680.0,8091.316,793.0
