,vps-docker-single-task-00-500-full,vps-docker-multi-task-00-500-10x50
openat,0.027688483682807866,0.027908905003261906
statx,0.021711054247825164,0.021690612922761865
newfstatat,0.021403119429590018,0.021389900071377584
pread64,0.02147142857142857,0.021070422535211266
clone,5.494428571428571,5.946416666666667
sched_yield,0.0305,0.03233333333333333
futex,40.85808546785659,40.388631689218684
read,0.022133555746879034,0.021928856841778685
write,0.030459081002337584,0.03080538474729905
