scenario,cpu_percent,rss_kib,kb_wr_per_s,iodelay,cswch_per_s,nvcswch_per_s
vps-docker-single-task-00-500-full,99.125,2776471.9375,533.375,0.0,294.015625,2.625
vps-docker-multi-task-00-500-10x50,0.0,672.0,0.0,0.0,0.9998181818181818,0.0
