scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
vps-docker-single-task-00-500-full,0.822,4.627,108.746,128.882,145.965,14.38,15.915,142.324,163.832
vps-docker-multi-task-00-500-10x50,4.224,110.008,1004.365,1306.792,2204.824,9.845,15.681,1317.441,2210.858
