scenario,total_mean,total_p50,total_p95,total_p99
multi-inst-25x2ix2w-stag150,10164.47689,7546.438,21443.974,43798.672
multi-inst-25x2ix2w-stag300,10585.10987,8269.535,19529.335,43253.25
multi-inst-25x2ix2w-stag500,14234.74378,14867.862,24593.755,49043.411
