scenario,busiest_device,pct_util,r_await,w_await,aqu_sz,system_wkb_s,benchmark_kb_wr_per_s
multi-inst-25x2ix2w-stag150,sda,0.620121455641295,0.013104424455504315,0.44813851726709586,0.09631877539838364,6806.422924676195,6620.970593047502
multi-inst-25x2ix2w-stag300,sda,0.6440443213296398,0.002770083102493075,0.4649307479224377,0.09409972299168975,6911.128268698061,6676.6967313019395
multi-inst-25x2ix2w-stag500,sda,0.489114359681895,0.0,0.4062922240997101,0.07543367386485188,5502.976622692111,5434.809307517014
