scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
multi-inst-25x2ix2w-stag150,36.134,287.773,7537.527,17648.778,43784.406,14.602,4199.388,21443.974,43798.672
multi-inst-25x2ix2w-stag300,37.879,263.395,8259.421,18498.19,43240.202,18.018,3834.907,19529.335,43253.25
multi-inst-25x2ix2w-stag500,13.064,607.758,14856.026,24575.436,49032.395,16.033,10314.694,24593.755,49043.411
