scenario,pct_cpu_total,pct_cpu_usr,pct_cpu_system,pct_cpu_wait
single-q,29.73911877394636,23.827318007662836,5.911800766283525,0.04597701149425287
multi-25x4w-stag500,53.93835249042146,43.37911877394636,10.559233716475095,0.14559386973180077
multi-inst-25x1dx4ix1w-stag500,96.33878504672897,,,
multi-inst-25x2dx2ix1w-500,74.52942667788764,,,
