scenario,total_mean,total_p50,total_p95,total_p99
single-q,5216.69218,5048.535,5551.443,5732.552
multi-25x4w-stag500,9819.87776,9417.068,11295.614,21724.197
multi-inst-25x1dx4ix1w-stag500,8591.46425,9938.59,16300.769,23824.061
multi-inst-25x2dx2ix1w-500,7234.69196,8391.302,13951.057,22866.213
