scenario,interrupts_per_s,system_context_switches_per_s,run_queue,blocked_processes,benchmark_cswch_per_s,benchmark_nvcswch_per_s,benchmark_iodelay
single-q,857937.1778202677,1381653.1070745697,30.688336520076483,0.0038240917782026767,33.46319923371648,23.7316091954023,0.0
multi-25x4w-stag500,782008.30651341,1282399.4214559386,29.57471264367816,0.011494252873563218,42.89969348659004,55.37436781609195,0.0
multi-inst-25x1dx4ix1w-stag500,804660.6273062731,1299132.889298893,32.789667896678964,0.0036900369003690036,,,
multi-inst-25x2dx2ix1w-500,813312.1340124286,1318569.474966457,31.561212720382272,0.005131464350446061,,,
