scenario,run_dir,run_started_at,run_finished_at,run_wall_clock_sec,first_request_started_at,last_request_finished_at,request_window_sec
single-q,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T124419Z_vps-docker-qwen3-235b-single-100-request,2026-04-20T12:44:27.799062+00:00,2026-04-20T12:53:13.276954+00:00,525.477892,2026-04-20T12:44:27.865302+00:00,2026-04-20T12:53:09.539178+00:00,521.673876
multi-25x4w-stag500,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T132533Z_vps-docker-qwen3-235b-multi-25x4w-stag500-request,2026-04-20T13:25:41.795349+00:00,2026-04-20T13:30:10.959344+00:00,269.163995,2026-04-20T13:25:49.265092+00:00,2026-04-20T13:29:58.331433+00:00,249.066341
multi-inst-25x1dx4ix1w-stag500,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T154058Z_vps-docker-qwen3-235b-multi-inst-25x1dx4ix1w-stag500-request,2026-04-20T15:41:07.232786+00:00,2026-04-20T15:46:05.376928+00:00,298.144142,2026-04-20T15:41:07.796681+00:00,2026-04-20T15:45:36.412029+00:00,268.615348
multi-inst-25x2dx2ix1w-500,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T145553Z_vps-docker-qwen3-235b-multi-inst-25x2dx2ix1w-stag500-request,2026-04-20T14:56:09.723427+00:00,2026-04-20T15:01:08.152652+00:00,298.429225,2026-04-20T14:56:09.797846+00:00,2026-04-20T15:00:48.923640+00:00,279.125794
