scenario,connect,send,wait,history,total
single-q,65.913,10.15706,5154.91609,51.58238,5216.69218
multi-25x4w-stag500,6780.3035,19.94308,9591.06935,208.82574,9819.87776
multi-inst-25x1dx4ix1w-stag500,5827.732,4.67324,8402.168889999999,184.58593000000002,8591.46425
multi-inst-25x2dx2ix1w-500,2025.71325,5.46293,7053.26091,175.9314,7234.69196
