scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-q,28.701,32.891,5031.352,5542.047,5705.789,17.145,23.607,5551.443,5732.552
multi-25x4w-stag500,42.924,225.228,9381.231,11281.706,21695.922,26.114,9692.42,11295.614,21724.197
multi-inst-25x1dx4ix1w-stag500,11.789,31.596,9912.587,16266.343,19355.974,17.002,4493.744,16300.769,23824.061
multi-inst-25x2dx2ix1w-500,17.735,32.121,8367.615,13520.877,18555.308,19.587,4286.695,13951.057,22866.213
