scenario,connect,send,wait,history,total
multi-5x4w-stag150,16318.043,39.708349999999996,11074.3939,160.42365,11274.564849999999
multi-5x4w-stag300,16632.08575,7.0386,10820.9072,160.2183,10988.2122
multi-5x4w-stag500,15635.4125,31.762900000000002,9474.68715,873.7705,10380.259750000001
