scenario,total_mean,total_p50,total_p95,total_p99
multi-5x4w-stag150,11274.564849999999,8832.69,20774.481,36223.634
multi-5x4w-stag300,10988.2122,8625.531,18839.169,35207.326
multi-5x4w-stag500,10380.259750000001,9172.508,19902.753,20081.845
