scenario,total_mean,total_p50,total_p95,total_p99
single-w,6463.907,4960.111,19077.865,27671.77
single-r,5860.68575,4861.988,5158.431,24784.4
single-inst-w,16953.2044,14750.209,29105.079,44384.492
single-inst-r,11248.8467,9063.101,22376.036,23549.777
