scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-w,12.813,17.486,4932.883,15093.321,27660.346,22.146,3979.985,19077.865,27671.77
single-r,7.147,18.233,4852.591,5151.154,20677.747,9.17,4102.638,5158.431,24784.4
single-inst-w,31.824,33.747,14677.987,29097.284,44372.283,4190.817,4823.283,29105.079,44384.492
single-inst-r,34.375,46.589,9024.259,18123.244,18787.094,4455.489,4758.419,22376.036,23549.777
