scenario,run_dir,instance_num,requests_total,requests_ok,requests_failed,connect_mean_ms,send_mean_ms,send_p95_ms,send_p99_ms,wait_mean_ms,wait_p50_ms,wait_p95_ms,wait_p99_ms,history_mean_ms,history_p95_ms,history_p99_ms,total_mean_ms,total_p50_ms,total_p95_ms,total_p99_ms,benchmark_cpu_percent_mean,benchmark_cpu_usr_percent_mean,benchmark_cpu_system_percent_mean,benchmark_cpu_wait_percent_mean,benchmark_rss_kib_mean,benchmark_kb_wr_per_s_mean,benchmark_iodelay_mean,benchmark_cswch_per_s_mean,benchmark_nvcswch_per_s_mean,system_busiest_device,system_disk_pct_util_mean,system_disk_r_await_mean,system_disk_w_await_mean,system_disk_aqu_sz_mean,system_disk_wkb_s_mean,system_interrupts_per_s_mean,system_cpu_user_percent_mean,system_cpu_system_percent_mean,system_cpu_wait_percent_mean,system_cpu_idle_percent_mean,system_context_switches_per_s_mean,system_run_queue_mean,system_blocked_processes_mean,npu_utilization_mean,npu_hbm_usage_mean,npu_aicore_usage_mean,token_rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
多实例并行300,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T194433Z_vps-docker-qwen3-235b-multi-inst-25x2ix2w-stag300-limited-worker,2,100,100,0,2321.828,10.49541,9.811,40.899,12119.46735,11177.102,18134.274,40607.149,193.46426,15.721,4336.9,12323.46377,11217.732,19253.36,40618.018,45.06391506976999,35.38835786934232,9.675557200427667,0.08399813581160731,1395039.2285001508,6951.699409079694,0.0,44.91700866299312,27.458553060832855,sda,0.6360071414864161,0.02357650026043808,0.4397691010773912,0.08700098692326672,6834.272004071059,813121.1675895164,8.683462532299743,8.287375415282392,0.0,83.01331979820353,1313606.6390426971,30.859050079980314,0.005229481973668021,82.30668826219512,97.0,41.907526676829264,100,104.3,27.139784449999997,22.279953799999998
多实例独占受限并行0,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T193153Z_vps-docker-qwen3-235b-single-inst-25x4i-limited-worker,4,100,100,0,2207.8807500000003,5.49939,23.319,33.632,10850.302039999999,9089.207,20027.631,70543.205,177.88963999999999,22.561,4290.323,11033.727690000002,9111.592,24321.906,70557.738,63.222602525694086,50.83314788531261,12.389454640381482,2.0375133657884934,2050618.5412562613,9780.513247202649,0.0,72.23418856750651,55.84150975775355,sda,0.7948541241132624,0.02131872643816897,0.43533877375995994,0.1110485647016837,9180.763268017734,824756.293370245,8.386492526895514,8.380667359552962,0.0,83.22911032111719,1347034.0889599328,30.154341085117142,0.005633252708114261,77.18891958841463,97.0,37.798628048780486,100,84.82,8.44429218,4.04962153
多实例并行500,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T195549Z_vps-docker-qwen3-235b-multi-inst-25x2ix2w-stag500-limited-worker,2,100,100,0,4050.9362499999997,11.798700000000002,19.593,42.195,12001.91381,9303.655,20720.914,21823.683,151.58431000000002,17.671,3566.817,12165.33199,9431.34,20813.725,21834.523,39.91115542193232,31.417892070933547,8.493263350998777,0.08338768854463921,1281421.5519771709,6015.824785976356,0.004484304932735426,46.794467794537304,23.787688544639217,sda,0.5716617407256421,0.012799684060334285,0.3946535364859356,0.08111424785976355,6118.329028740318,820630.493242831,8.621758694325809,8.469506304657312,0.0,82.94373093349603,1320030.4353365875,31.684988305877567,0.009019727476103315,85.16511043015726,97.0,42.2442327705828,100,104.24,23.51172427,18.05040702
多实例独占受限并行300,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T200819Z_vps-docker-qwen3-235b-single-inst-25x4i-stag300-limited-worker,4,100,100,0,335.33925,6.85282,28.561,60.738,13940.95896,14519.101,28451.256,31058.345,180.60605999999999,28.8,4393.879,14128.45746,14534.146,28468.426,31069.254,44.56397255981032,35.77695573023453,8.787016829575787,1.6387047175450944,2016066.4529814771,6495.435734496836,0.0,62.512826818821225,45.675036473213304,sda,0.5393803605787477,0.022519793031385175,0.36651363685028543,0.0780193534816126,6402.4882209048565,841936.2832965758,8.53795373430719,8.939621949258171,0.0,82.55883506972904,1358672.4368343926,31.876914698418677,0.005352505256881022,82.61852975650334,97.0,39.67006484422262,100,146.72,9.41072923,4.6364146900000005
