scenario,rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
多实例并行300,100,104.3,27.139784449999997,22.279953799999998
多实例独占受限并行0,100,84.82,8.44429218,4.04962153
多实例并行500,100,104.24,23.51172427,18.05040702
多实例独占受限并行300,100,146.72,9.41072923,4.6364146900000005
