scenario,connect,send,wait,history,total
多实例并行300,2321.828,10.49541,12119.46735,193.46426,12323.46377
多实例独占受限并行0,2207.8807500000003,5.49939,10850.302039999999,177.88963999999999,11033.727690000002
多实例并行500,4050.9362499999997,11.798700000000002,12001.91381,151.58431000000002,12165.33199
多实例独占受限并行300,335.33925,6.85282,13940.95896,180.60605999999999,14128.45746
