scenario,total_mean,total_p50,total_p95,total_p99
多实例并行300,12323.46377,11217.732,19253.36,40618.018
多实例独占受限并行0,11033.727690000002,9111.592,24321.906,70557.738
多实例并行500,12165.33199,9431.34,20813.725,21834.523
多实例独占受限并行300,14128.45746,14534.146,28468.426,31069.254
