sample_timestamp,sample_time,sample_kind,uid,pid,command,cswch_per_s,nvcswch_per_s
2026-03-20T11:26:03+00:00,11:26:03,interval,1000,22316,docker-init,1.0,0.0
2026-03-20T11:26:04+00:00,11:26:04,interval,1000,22316,docker-init,1.0,0.0
2026-03-20T11:26:05+00:00,11:26:05,interval,1000,22316,docker-init,1.0,0.0
