timestamp,container,cpu_percent,mem_percent,mem_usage_limit,net_io,block_io,pids,raw_json
2026-03-20T11:26:03.757565+00:00,openclaw-bench-docker-single-resource-profile-0d2ea4b9,107.21%,20.45%,1.559GiB / 7.621GiB,32.2kB / 390kB,89.3MB / 10.9MB,12,"{""BlockIO"": ""89.3MB / 10.9MB"", ""CPUPerc"": ""107.21%"", ""Container"": ""openclaw-bench-docker-single-resource-profile-0d2ea4b9"", ""ID"": ""a8c6b6c0eae0"", ""MemPerc"": ""20.45%"", ""MemUsage"": ""1.559GiB / 7.621GiB"", ""Name"": ""openclaw-bench-docker-single-resource-profile-0d2ea4b9"", ""NetIO"": ""32.2kB / 390kB"", ""PIDs"": ""12""}"
2026-03-20T11:26:06.347666+00:00,openclaw-bench-docker-single-resource-profile-0d2ea4b9,98.68%,20.48%,1.561GiB / 7.621GiB,102kB / 3.5MB,89.3MB / 11.2MB,12,"{""BlockIO"": ""89.3MB / 11.2MB"", ""CPUPerc"": ""98.68%"", ""Container"": ""openclaw-bench-docker-single-resource-profile-0d2ea4b9"", ""ID"": ""a8c6b6c0eae0"", ""MemPerc"": ""20.48%"", ""MemUsage"": ""1.561GiB / 7.621GiB"", ""Name"": ""openclaw-bench-docker-single-resource-profile-0d2ea4b9"", ""NetIO"": ""102kB / 3.5MB"", ""PIDs"": ""12""}"
