sample_timestamp,sample_time,sample_kind,uid,pid,command,kb_rd_per_s,kb_wr_per_s,kb_ccwr_per_s,iodelay
2026-03-20T11:26:03+00:00,11:26:03,interval,1000,22316,docker-init,0.0,0.0,0.0,0
2026-03-20T11:26:04+00:00,11:26:04,interval,1000,22316,docker-init,0.0,0.0,0.0,0
2026-03-20T11:26:05+00:00,11:26:05,interval,1000,22316,docker-init,0.0,0.0,0.0,0
