scenario,run_dir,instance_num,requests_total,requests_ok,requests_failed,connect_mean_ms,send_mean_ms,send_p95_ms,send_p99_ms,wait_mean_ms,wait_p50_ms,wait_p95_ms,wait_p99_ms,history_mean_ms,history_p95_ms,history_p99_ms,total_mean_ms,total_p50_ms,total_p95_ms,total_p99_ms,benchmark_cpu_percent_mean,benchmark_cpu_usr_percent_mean,benchmark_cpu_system_percent_mean,benchmark_cpu_wait_percent_mean,benchmark_rss_kib_mean,benchmark_kb_wr_per_s_mean,benchmark_iodelay_mean,benchmark_cswch_per_s_mean,benchmark_nvcswch_per_s_mean,system_busiest_device,system_disk_pct_util_mean,system_disk_r_await_mean,system_disk_w_await_mean,system_disk_aqu_sz_mean,system_disk_wkb_s_mean,system_interrupts_per_s_mean,system_context_switches_per_s_mean,system_run_queue_mean,system_blocked_processes_mean,npu_utilization_mean,npu_hbm_usage_mean,npu_aicore_usage_mean,token_rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
multi-5x4w-stag150,/root/Zehao/ClawHarness/out/batch_run_4/task-01/20260417T135108Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag150-request,1,20,20,0,4577.45175,14.5318,30.207,201.566,5842.5711,3089.196,18691.624,21477.083,156.51080000000002,15.525,2974.789,6013.653700000001,3098.864,21487.595,21670.827,110.79972222222221,91.85611111111112,18.94361111111111,0.16666666666666666,893093.0,15109.296944444442,0.0,48.84888888888889,91.77722222222222,sda,1.3833333333333333,0.0,1.0036111111111112,0.23416666666666666,14669.666666666666,744389.9459459459,1306381.6756756757,18.027027027027028,0.02702702702702703,35.125,93.5,17.15625,20,16.0,4.43982135,4.43982135
multi-5x4w-stag300,/root/Zehao/ClawHarness/out/batch_run_4/task-01/20260417T135318Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag300-request,1,20,20,0,23516.87125,4.55145,18.684,24.81,2982.0320500000003,2121.413,3293.714,17226.913,203.03199999999998,14.767,3914.796,3189.6548,2133.527,3306.148,21145.874,92.5111111111111,75.84444444444445,16.666666666666668,0.1111111111111111,901634.3111111111,12974.844444444445,0.0,42.2,58.422222222222224,sda,1.26,0.0,1.019777777777778,0.2,12141.066666666668,754174.4130434783,1326418.5217391304,21.41304347826087,0.0,28.725,93.5,11.8375,20,16.0,7.2573113000000005,7.2573113000000005
multi-5x4w-stag500,/root/Zehao/ClawHarness/out/batch_run_4/task-01/20260417T135537Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag500-request,1,20,20,0,3400.16,268.15545000000003,413.9,4409.743,5780.84775,3227.596,17373.795,17380.856,200.9563,26.197,3835.357,6249.9945,3272.718,21220.16,21792.138,108.94594594594595,90.16216216216216,18.783783783783782,0.10810810810810811,890973.7297297297,15262.81081081081,0.0,43.513513513513516,65.08108108108108,sda,1.2432432432432432,0.0,1.107027027027027,0.2421621621621622,14063.567567567568,731952.5263157894,1291726.3157894737,14.105263157894736,0.0,28.609375,93.5,15.28125,20,16.0,4.7444711,4.7444711
