timestamp,container,cpu_percent,mem_percent,mem_usage_limit,net_io,block_io,pids,raw_json
2026-03-20T11:26:44.077958+00:00,openclaw-bench-docker-multi-resource-profile-176c435e,121.89%,22.99%,1.752GiB / 7.621GiB,43.6kB / 339kB,0B / 430kB,12,"{""BlockIO"": ""0B / 430kB"", ""CPUPerc"": ""121.89%"", ""Container"": ""openclaw-bench-docker-multi-resource-profile-176c435e"", ""ID"": ""6ad1c52521e1"", ""MemPerc"": ""22.99%"", ""MemUsage"": ""1.752GiB / 7.621GiB"", ""Name"": ""openclaw-bench-docker-multi-resource-profile-176c435e"", ""NetIO"": ""43.6kB / 339kB"", ""PIDs"": ""12""}"
2026-03-20T11:26:46.676534+00:00,openclaw-bench-docker-multi-resource-profile-176c435e,106.62%,23.02%,1.754GiB / 7.621GiB,130kB / 3.25MB,0B / 754kB,12,"{""BlockIO"": ""0B / 754kB"", ""CPUPerc"": ""106.62%"", ""Container"": ""openclaw-bench-docker-multi-resource-profile-176c435e"", ""ID"": ""6ad1c52521e1"", ""MemPerc"": ""23.02%"", ""MemUsage"": ""1.754GiB / 7.621GiB"", ""Name"": ""openclaw-bench-docker-multi-resource-profile-176c435e"", ""NetIO"": ""130kB / 3.25MB"", ""PIDs"": ""12""}"
