scenario,connect,send,wait,history,total
single-w,76.176,5.68795,5172.10235,204.8962,5382.726049999999
multi-5x4w-stag500,15635.4125,31.762900000000002,9474.68715,873.7705,10380.259750000001
multi-inst-5x4i,2535.7485,8.023349999999999,10255.9455,774.9242,11038.93545
multi-inst-5x2ix2w-500,9324.4095,11.2447,11112.1515,746.7268,11870.1567
