scenario,total_mean,total_p50,total_p95,total_p99
single-w,5382.726049999999,4659.412,5324.246,18552.41
multi-5x4w-stag500,10380.259750000001,9172.508,19902.753,20081.845
multi-inst-5x4i,11038.93545,8480.94,19634.753,37387.22
multi-inst-5x2ix2w-500,11870.1567,8973.713,20555.677,38120.917
