scenario,interrupts_per_s,system_context_switches_per_s,run_queue,blocked_processes,benchmark_cswch_per_s,benchmark_nvcswch_per_s,benchmark_iodelay
single-w,849986.5221238938,1382521.1150442478,30.991150442477878,0.0,31.51535714285714,34.07035714285714,0.0
multi-5x4w-stag500,751041.5733333334,1290073.8133333332,25.173333333333332,0.02666666666666667,40.82432432432432,53.37837837837838,0.0
multi-inst-5x4i,775969.5727663923,1344737.595197322,21.852338165065042,0.016861132270791827,74.77646785860973,124.09714954610607,0.0
multi-inst-5x2ix2w-500,771396.6147058823,1312154.1210084034,23.686764705882354,0.0058823529411764705,58.99541021227768,170.3298909925416,0.0
