scenario,rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
single-w,20,16.15,3.3422813499999995,3.3422813499999995
multi-5x4w-stag500,18,16.77777777777778,1.7224948333333332,1.7224948333333332
multi-inst-5x4i,20,16.85,1.93173345,1.93173345
multi-inst-5x2ix2w-500,20,16.5,1.7136923,1.7136923
