scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-w,11.023,22.391,4651.527,5313.565,14581.131,8.588,3966.402,5324.246,18552.41
multi-5x4w-stag500,149.812,207.624,9145.18,19874.123,19915.018,8620.867,8622.728,19902.753,20081.845
multi-inst-5x4i,27.454,35.562,8472.471,15847.561,33515.782,3867.856,3944.455,19634.753,37387.22
multi-inst-5x2ix2w-500,37.475,43.133,8923.419,17165.637,34142.645,3973.701,4013.136,20555.677,38120.917
