scenario,run_dir,run_started_at,run_finished_at,run_wall_clock_sec,first_request_started_at,last_request_finished_at,request_window_sec
single-w,/root/Zehao/ClawHarness/out/batch_run_1/task-01/20260416T131415Z_vps-docker-qwen3-32b8x2-single-20-worker,2026-04-16T13:14:22.739492+00:00,2026-04-16T13:21:59.548547+00:00,456.809055,2026-04-16T13:14:23.491679+00:00,2026-04-16T13:21:49.359766+00:00,445.868087
multi-5x4w-stag500,/root/Zehao/ClawHarness/out/batch_run_1/task-01/20260416T133412Z_vps-docker-qwen3-32b8x2-multi-5x4w-stag300-worker,2026-04-16T13:34:19.925292+00:00,2026-04-16T13:38:28.543158+00:00,248.617866,2026-04-16T13:34:20.697749+00:00,2026-04-16T13:38:17.748987+00:00,237.051238
multi-inst-5x4i,/root/Zehao/ClawHarness/out/batch_run_1/task-01/20260416T134818Z_vps-docker-qwen3-32b8x2-single-inst-5x4i-worker,2026-04-16T13:48:48.059829+00:00,2026-04-16T13:53:16.222609+00:00,268.16278,2026-04-16T13:48:48.160427+00:00,2026-04-16T13:52:47.266424+00:00,239.105997
multi-inst-5x2ix2w-500,/root/Zehao/ClawHarness/out/batch_run_1/task-01/20260416T151137Z_vps-docker-qwen3-32b8x2-multi-inst-5x2ix2w-stag500-worker,2026-04-16T15:11:52.190626+00:00,2026-04-16T15:16:59.298282+00:00,307.107656,2026-04-16T15:11:52.262055+00:00,2026-04-16T15:16:40.529854+00:00,288.267799
